:START_ID|:END_ID|:TYPE|order:int
#121|#114|PARENTCONTEXT|6
#121|#121_7|TARGETSCALE|7
#121|#121_8|TARGETVIEW|8
#121|#121_9|USERDEFINEDTARGETVIEW|9
#122|#122_0|CONTEXTIDENTIFIER|0
#122|#122_1|CONTEXTTYPE|1
#122|#122_2|COORDINATESPACEDIMENSION|2
#122|#122_3|PRECISION|3
#122|#122_4|WORLDCOORDINATESYSTEM|4
#122|#122_5|TRUENORTH|5
#122|#114|PARENTCONTEXT|6
#122|#122_7|TARGETSCALE|7
#122|#122_8|TARGETVIEW|8
#122|#122_9|USERDEFINEDTARGETVIEW|9
#123|#123_0|NAME|0
#123|#123_1|DESCRIPTION|1
#123|#123_2|GEODETICDATUM|2
#123|#123_3|VERTICALDATUM|3
#123|#123_4|MAPPROJECTION|4
#123|#123_5|MAPZONE|5
#123|#123_6|MAPUNIT|6
#125|#114|SOURCECRS|0
#125|#123|TARGETCRS|1
#125|#125_2|EASTINGS|2
#125|#125_3|NORTHINGS|3
#125|#125_4|ORTHOGONALHEIGHT|4
#125|#125_5|XAXISABSCISSA|5
#125|#125_6|XAXISORDINATE|6
#125|#125_7|SCALE|7
#127|#42|OwnerHistory|1
#127|#127_4|OBJECTTYPE|4
#127|#127_5|LONGNAME|5
#127|#127_6|PHASE|6
#127|#127_7|REPRESENTATIONCONTEXTS|7
#127_7|#114|REPRESENTATIONCONTEXTS|0
#127|#109|UNITSINCONTEXT|8
#138|#138_0|PURPOSE|0
#138|#138_1|DESCRIPTION|1
#138|#138_2|USERDEFINEDPURPOSE|2
#138|#138_3|INTERNALLOCATION|3
#138|#138_4|ADDRESSLINES|4
#138|#138_5|POSTALBOX|5
#138|#138_6|TOWN|6
#138|#138_7|REGION|7
#138|#138_8|POSTALCODE|8
#138|#138_9|COUNTRY|9
#142|#42|OwnerHistory|1
#142|#142_4|OBJECTTYPE|4
#142|#33|OBJECTPLACEMENT|5
#142|#142_6|REPRESENTATION|6
#142|#142_7|LONGNAME|7
#142|#142_8|COMPOSITIONTYPE|8
#142|#142_9|ELEVATIONOFREFHEIGHT|9
#142|#142_10|ELEVATIONOFTERRAIN|10
#142|#138|BUILDINGADDRESS|11
#152|#6|LOCATION|0
#152|#152_1|AXIS|1
#152|#152_2|REFDIRECTION|2
#153|#33|PLACEMENTRELTO|0
#153|#152|RELATIVEPLACEMENT|1
#155|#42|OwnerHistory|1
#155|#155_4|OBJECTTYPE|4
#155|#153|OBJECTPLACEMENT|5
#155|#155_6|REPRESENTATION|6
#155|#155_7|LONGNAME|7
#155|#155_8|COMPOSITIONTYPE|8
#155|#155_9|ELEVATION|9
#157|#6|LOCATION|0
#157|#157_1|AXIS|1
#157|#157_2|REFDIRECTION|2
#158|#158_0|PLACEMENTRELTO|0
#158|#157|RELATIVEPLACEMENT|1
#159|#42|OwnerHistory|1
#159|#159_4|OBJECTTYPE|4
#159|#158|OBJECTPLACEMENT|5
#159|#159_6|REPRESENTATION|6
#159|#159_7|LONGNAME|7
#159|#159_8|COMPOSITIONTYPE|8
#159|#159_9|REFLATITUDE|9
#159|#159_10|REFLONGITUDE|10
#159|#159_11|REFELEVATION|11
#159|#159_12|LANDTITLENUMBER|12
#159|#159_13|SITEADDRESS|13
#163|#163_0|NAME|0
#163|#163_1|DESCRIPTION|1
#163|#163_2|NOMINALVALUE|2
#163|#163_3|UNIT|3
#171|#42|OwnerHistory|1
#171|#171_4|HASPROPERTIES|4
#171_4|#163|HASPROPERTIES|0
#179|#42|OwnerHistory|1
#179|#179_4|RELATEDOBJECTS|4
#179_4|#159|RELATEDOBJECTS|0
#179|#171|RELATINGPROPERTYDEFINITION|5
#183|#183_0|NAME|0
#183|#183_1|DESCRIPTION|1
#183|#183_2|NOMINALVALUE|2
#183|#183_3|UNIT|3
#184|#42|OwnerHistory|1
#184|#184_4|HASPROPERTIES|4
#184_4|#183|HASPROPERTIES|0
#187|#42|OwnerHistory|1
#187|#187_4|RELATEDOBJECTS|4
#187_4|#159|RELATEDOBJECTS|0
#187|#184|RELATINGPROPERTYDEFINITION|5
#190|#6|LOCATION|0
#190|#190_1|AXIS|1
#190|#190_2|REFDIRECTION|2
#1185|#1185_0|NAME|0
#1185|#1185_1|DESCRIPTION|1
#1185|#1185_2|ASSIGNEDITEMS|2
#1185_2|#772|ASSIGNEDITEMS|0
#1185_2|#801|ASSIGNEDITEMS|1
#1185_2|#936|ASSIGNEDITEMS|2
#1185_2|#945|ASSIGNEDITEMS|3
#1185|#1185_3|IDENTIFIER|3
#192|#192_0|COORDINATES|0
#194|#192|VERTEXGEOMETRY|0
#195|#195_0|COORDINATES|0
#197|#195|VERTEXGEOMETRY|0
#198|#20|ORIENTATION|0
#198|#198_1|MAGNITUDE|1
#199|#192|PNT|0
#199|#198|DIR|1
#200|#199|BASISCURVE|0
#200|#200_1|TRIM1|1
#200_1|#192|TRIM1|0
#200|#200_2|TRIM2|2
#200_2|#195|TRIM2|0
#200|#200_3|SENSEAGREEMENT|3
#200|#200_4|MASTERREPRESENTATION|4
#203|#194|EDGESTART|0
#203|#197|EDGEEND|1
#203|#200|EDGEGEOMETRY|2
#203|#203_3|SAMESENSE|3
#204|#204_0|COORDINATES|0
#206|#204|VERTEXGEOMETRY|0
#207|#207_0|DIRECTIONRATIOS|0
#209|#207|ORIENTATION|0
#209|#209_1|MAGNITUDE|1
#210|#195|PNT|0
#210|#209|DIR|1
#211|#210|BASISCURVE|0
#211|#211_1|TRIM1|1
#211_1|#195|TRIM1|0
#211|#211_2|TRIM2|2
#211_2|#204|TRIM2|0
#211|#211_3|SENSEAGREEMENT|3
#211|#211_4|MASTERREPRESENTATION|4
#214|#197|EDGESTART|0
#214|#206|EDGEEND|1
#214|#211|EDGEGEOMETRY|2
#214|#214_3|SAMESENSE|3
#215|#215_0|COORDINATES|0
#217|#215|VERTEXGEOMETRY|0
#218|#22|ORIENTATION|0
#218|#218_1|MAGNITUDE|1
#219|#204|PNT|0
#219|#218|DIR|1
#220|#219|BASISCURVE|0
#220|#220_1|TRIM1|1
#220_1|#204|TRIM1|0
#220|#220_2|TRIM2|2
#220_2|#215|TRIM2|0
#220|#220_3|SENSEAGREEMENT|3
#220|#220_4|MASTERREPRESENTATION|4
#223|#206|EDGESTART|0
#223|#217|EDGEEND|1
#223|#220|EDGEGEOMETRY|2
#223|#223_3|SAMESENSE|3
#224|#224_0|DIRECTIONRATIOS|0
#226|#224|ORIENTATION|0
#226|#226_1|MAGNITUDE|1
#227|#215|PNT|0
#227|#226|DIR|1
#228|#227|BASISCURVE|0
#228|#228_1|TRIM1|1
#228_1|#215|TRIM1|0
#228|#228_2|TRIM2|2
#228_2|#192|TRIM2|0
#228|#228_3|SENSEAGREEMENT|3
#228|#228_4|MASTERREPRESENTATION|4
#231|#217|EDGESTART|0
#231|#194|EDGEEND|1
#231|#228|EDGEGEOMETRY|2
#231|#231_3|SAMESENSE|3
#232|#232_0|COORDINATES|0
#234|#232|VERTEXGEOMETRY|0
#235|#235_0|DIRECTIONRATIOS|0
#237|#235|ORIENTATION|0
#237|#237_1|MAGNITUDE|1
#238|#195|PNT|0
#238|#237|DIR|1
#239|#238|BASISCURVE|0
#239|#239_1|TRIM1|1
#239_1|#195|TRIM1|0
#239|#239_2|TRIM2|2
#239_2|#232|TRIM2|0
#239|#239_3|SENSEAGREEMENT|3
#239|#239_4|MASTERREPRESENTATION|4
#242|#197|EDGESTART|0
#242|#234|EDGEEND|1
#242|#239|EDGEGEOMETRY|2
#242|#242_3|SAMESENSE|3
#243|#243_0|COORDINATES|0
#245|#243|VERTEXGEOMETRY|0
#246|#246_0|DIRECTIONRATIOS|0
#248|#246|ORIENTATION|0
#248|#248_1|MAGNITUDE|1
#249|#232|PNT|0
#249|#248|DIR|1
#250|#249|BASISCURVE|0
#250|#250_1|TRIM1|1
#250_1|#232|TRIM1|0
#250|#250_2|TRIM2|2
#250_2|#243|TRIM2|0
#250|#250_3|SENSEAGREEMENT|3
#250|#250_4|MASTERREPRESENTATION|4
#253|#234|EDGESTART|0
#253|#245|EDGEEND|1
#253|#250|EDGEGEOMETRY|2
#253|#253_3|SAMESENSE|3
#254|#254_0|DIRECTIONRATIOS|0
#256|#254|ORIENTATION|0
#256|#256_1|MAGNITUDE|1
#257|#243|PNT|0
#257|#256|DIR|1
#258|#257|BASISCURVE|0
#258|#258_1|TRIM1|1
#258_1|#243|TRIM1|0
#258|#258_2|TRIM2|2
#258_2|#204|TRIM2|0
#258|#258_3|SENSEAGREEMENT|3
#258|#258_4|MASTERREPRESENTATION|4
#261|#245|EDGESTART|0
#261|#206|EDGEEND|1
#261|#258|EDGEGEOMETRY|2
#261|#261_3|SAMESENSE|3
#262|#262_0|COORDINATES|0
#264|#262|VERTEXGEOMETRY|0
#265|#22|ORIENTATION|0
#265|#265_1|MAGNITUDE|1
#266|#232|PNT|0
#266|#265|DIR|1
#267|#266|BASISCURVE|0
#267|#267_1|TRIM1|1
#267_1|#232|TRIM1|0
#267|#267_2|TRIM2|2
#267_2|#262|TRIM2|0
#267|#267_3|SENSEAGREEMENT|3
#267|#267_4|MASTERREPRESENTATION|4
#270|#234|EDGESTART|0
#270|#264|EDGEEND|1
#270|#267|EDGEGEOMETRY|2
#270|#270_3|SAMESENSE|3
#271|#271_0|COORDINATES|0
#273|#271|VERTEXGEOMETRY|0
#274|#274_0|DIRECTIONRATIOS|0
#276|#274|ORIENTATION|0
#276|#276_1|MAGNITUDE|1
#277|#262|PNT|0
#277|#276|DIR|1
#278|#277|BASISCURVE|0
#278|#278_1|TRIM1|1
#278_1|#262|TRIM1|0
#278|#278_2|TRIM2|2
#278_2|#271|TRIM2|0
#278|#278_3|SENSEAGREEMENT|3
#278|#278_4|MASTERREPRESENTATION|4
#281|#264|EDGESTART|0
#281|#273|EDGEEND|1
#281|#278|EDGEGEOMETRY|2
#281|#281_3|SAMESENSE|3
#282|#20|ORIENTATION|0
#282|#282_1|MAGNITUDE|1
#283|#271|PNT|0
#283|#282|DIR|1
#284|#283|BASISCURVE|0
#284|#284_1|TRIM1|1
#284_1|#271|TRIM1|0
#284|#284_2|TRIM2|2
#284_2|#243|TRIM2|0
#284|#284_3|SENSEAGREEMENT|3
#284|#284_4|MASTERREPRESENTATION|4
#287|#273|EDGESTART|0
#287|#245|EDGEEND|1
#287|#284|EDGEGEOMETRY|2
#287|#287_3|SAMESENSE|3
#288|#288_0|COORDINATES|0
#290|#288|VERTEXGEOMETRY|0
#291|#291_0|DIRECTIONRATIOS|0
#293|#291|ORIENTATION|0
#293|#293_1|MAGNITUDE|1
#294|#262|PNT|0
#294|#293|DIR|1
#295|#294|BASISCURVE|0
#295|#295_1|TRIM1|1
#295_1|#262|TRIM1|0
#295|#295_2|TRIM2|2
#295_2|#288|TRIM2|0
#295|#295_3|SENSEAGREEMENT|3
#295|#295_4|MASTERREPRESENTATION|4
#298|#264|EDGESTART|0
