IfcId:ID|:LABEL
#640|IFCORIENTEDEDGE
#641|IFCORIENTEDEDGE
#642|IFCORIENTEDEDGE
#643|IFCORIENTEDEDGE
#644|IFCEDGELOOP
#646|IFCFACEOUTERBOUND
#647|IFCCARTESIANPOINT
#649|IFCDIRECTION
#651|IFCDIRECTION
#653|IFCAXIS2PLACEMENT3D
#654|IFCPLANE
#655|IFCADVANCEDFACE
#657|IFCORIENTEDEDGE
#658|IFCORIENTEDEDGE
#659|IFCORIENTEDEDGE
#660|IFCORIENTEDEDGE
#661|IFCEDGELOOP
#663|IFCFACEOUTERBOUND
#664|IFCCARTESIANPOINT
#666|IFCDIRECTION
#668|IFCAXIS2PLACEMENT3D
#669|IFCPLANE
#670|IFCADVANCEDFACE
#672|IFCORIENTEDEDGE
#673|IFCORIENTEDEDGE
#674|IFCORIENTEDEDGE
#675|IFCORIENTEDEDGE
#676|IFCEDGELOOP
#678|IFCFACEOUTERBOUND
#679|IFCCARTESIANPOINT
#681|IFCDIRECTION
#683|IFCDIRECTION
#685|IFCAXIS2PLACEMENT3D
#686|IFCPLANE
#687|IFCADVANCEDFACE
#689|IFCORIENTEDEDGE
#690|IFCORIENTEDEDGE
#691|IFCORIENTEDEDGE
#692|IFCORIENTEDEDGE
#693|IFCEDGELOOP
#695|IFCFACEOUTERBOUND
#696|IFCCARTESIANPOINT
#698|IFCDIRECTION
#700|IFCAXIS2PLACEMENT3D
#701|IFCPLANE
#702|IFCADVANCEDFACE
#704|IFCORIENTEDEDGE
#705|IFCORIENTEDEDGE
#706|IFCORIENTEDEDGE
#707|IFCORIENTEDEDGE
#708|IFCEDGELOOP
#710|IFCFACEOUTERBOUND
#711|IFCCARTESIANPOINT
#713|IFCDIRECTION
#715|IFCDIRECTION
#717|IFCAXIS2PLACEMENT3D
#718|IFCPLANE
#719|IFCADVANCEDFACE
#721|IFCORIENTEDEDGE
#722|IFCORIENTEDEDGE
#723|IFCORIENTEDEDGE
#724|IFCORIENTEDEDGE
#725|IFCORIENTEDEDGE
#726|IFCORIENTEDEDGE
#727|IFCORIENTEDEDGE
#728|IFCORIENTEDEDGE
#729|IFCORIENTEDEDGE
#730|IFCORIENTEDEDGE
#731|IFCORIENTEDEDGE
#732|IFCORIENTEDEDGE
#733|IFCEDGELOOP
#735|IFCFACEOUTERBOUND
#736|IFCCARTESIANPOINT
#738|IFCDIRECTION
#740|IFCAXIS2PLACEMENT3D
#741|IFCPLANE
#742|IFCADVANCEDFACE
#744|IFCORIENTEDEDGE
#745|IFCORIENTEDEDGE
#746|IFCORIENTEDEDGE
#747|IFCORIENTEDEDGE
#748|IFCORIENTEDEDGE
#749|IFCORIENTEDEDGE
#750|IFCORIENTEDEDGE
#751|IFCORIENTEDEDGE
#752|IFCORIENTEDEDGE
#753|IFCORIENTEDEDGE
#754|IFCORIENTEDEDGE
#755|IFCORIENTEDEDGE
#756|IFCEDGELOOP
#758|IFCFACEOUTERBOUND
#759|IFCCARTESIANPOINT
#761|IFCDIRECTION
#763|IFCDIRECTION
#765|IFCAXIS2PLACEMENT3D
#766|IFCPLANE
#767|IFCADVANCEDFACE
#769|IFCCLOSEDSHELL
#771|IFCADVANCEDBREP
#772|IFCSHAPEREPRESENTATION
#779|IFCAXIS2PLACEMENT3D
#780|IFCREPRESENTATIONMAP
#788|IFCMATERIAL
#795|IFCCLASSIFICATION
#798|IFCCARTESIANTRANSFORMATIONOPERATOR3D
#799|IFCMAPPEDITEM
#801|IFCSHAPEREPRESENTATION
#803|IFCPRODUCTDEFINITIONSHAPE
#808|IFCCARTESIANPOINT
#810|IFCDIRECTION
#812|IFCAXIS2PLACEMENT3D
#813|IFCLOCALPLACEMENT
#830|IFCPROPERTYSINGLEVALUE
#831|IFCPROPERTYSINGLEVALUE
#845|IFCPROPERTYSINGLEVALUE
#846|IFCPROPERTYSINGLEVALUE
#847|IFCPROPERTYSINGLEVALUE
#848|IFCPROPERTYSINGLEVALUE
#849|IFCPROPERTYSINGLEVALUE
#850|IFCPROPERTYSINGLEVALUE
#851|IFCPROPERTYSINGLEVALUE
#852|IFCPROPERTYSINGLEVALUE
#853|IFCPROPERTYSINGLEVALUE
#854|IFCPROPERTYSINGLEVALUE
#855|IFCPROPERTYSINGLEVALUE
#856|IFCPROPERTYSINGLEVALUE
#857|IFCPROPERTYSINGLEVALUE
#858|IFCPROPERTYSINGLEVALUE
#859|IFCPROPERTYSINGLEVALUE
#860|IFCPROPERTYSINGLEVALUE
#861|IFCPROPERTYSINGLEVALUE
#862|IFCPROPERTYSINGLEVALUE
#863|IFCPROPERTYSINGLEVALUE
#864|IFCPROPERTYSINGLEVALUE
#926|IFCAXIS2PLACEMENT3D
#928|IFCCARTESIANPOINT
#930|IFCAXIS2PLACEMENT2D
#931|IFCCIRCLEPROFILEDEF
#934|IFCAXIS2PLACEMENT3D
#935|IFCEXTRUDEDAREASOLID
#936|IFCSHAPEREPRESENTATION
#938|IFCAXIS2PLACEMENT3D
#939|IFCREPRESENTATIONMAP
#943|IFCMAPPEDITEM
#945|IFCSHAPEREPRESENTATION
#947|IFCPRODUCTDEFINITIONSHAPE
#950|IFCCARTESIANPOINT
#952|IFCDIRECTION
#954|IFCDIRECTION
#956|IFCAXIS2PLACEMENT3D
#957|IFCLOCALPLACEMENT
#961|IFCPROPERTYSINGLEVALUE
#974|IFCPROPERTYSINGLEVALUE
#975|IFCPROPERTYSINGLEVALUE
#976|IFCPROPERTYSINGLEVALUE
#977|IFCPROPERTYSINGLEVALUE
#978|IFCPROPERTYSINGLEVALUE
#979|IFCPROPERTYSINGLEVALUE
#980|IFCPROPERTYSINGLEVALUE
#981|IFCPROPERTYSINGLEVALUE
#982|IFCPROPERTYSINGLEVALUE
#983|IFCPROPERTYSINGLEVALUE
#984|IFCPROPERTYSINGLEVALUE
#985|IFCPROPERTYSINGLEVALUE
#1037|IFCPROPERTYSINGLEVALUE
#1038|IFCPROPERTYSINGLEVALUE
#1047|IFCPROPERTYSINGLEVALUE
#1048|IFCPROPERTYSINGLEVALUE
#1049|IFCPROPERTYSINGLEVALUE
#1050|IFCPROPERTYSINGLEVALUE
#1051|IFCPROPERTYSINGLEVALUE
#1052|IFCPROPERTYSINGLEVALUE
#1053|IFCPROPERTYSINGLEVALUE
#1054|IFCPROPERTYSINGLEVALUE
#1055|IFCPROPERTYSINGLEVALUE
#1056|IFCPROPERTYSINGLEVALUE
#1057|IFCPROPERTYSINGLEVALUE
#1058|IFCPROPERTYSINGLEVALUE
#1059|IFCPROPERTYSINGLEVALUE
#1060|IFCPROPERTYSINGLEVALUE
#1061|IFCPROPERTYSINGLEVALUE
#1062|IFCPROPERTYSINGLEVALUE
#1063|IFCPROPERTYSINGLEVALUE
#1064|IFCPROPERTYSINGLEVALUE
#1128|IFCPROPERTYSINGLEVALUE
#1129|IFCPROPERTYSINGLEVALUE
